date,cases,deaths,mov
2020-03-01,10.090909090909092,0.09090909090909091,1.3673072650914606
2020-03-02,14.0,0.08333333333333333,1.2278883506725464
2020-03-03,17.166666666666668,0.08333333333333333,2.2794916113158488
2020-03-04,18.615384615384617,0.15384615384615385,3.508052864877103
2020-03-05,27.307692307692307,0.23076923076923078,4.840907972732211
2020-03-06,32.30769230769231,0.23076923076923078,6.118156649980888
2020-03-07,42.23076923076923,0.5384615384615384,7.316453992173579
2020-03-08,47.07692307692308,0.6923076923076923,8.601869725865175
2020-03-09,52.76923076923077,0.7692307692307693,10.18669587632771
2020-03-10,55.07142857142857,0.8571428571428571,11.980558460678834
2020-03-11,141.28571428571428,1.2857142857142858,13.974548693074983
2020-03-12,172.5,1.5714285714285714,15.490120444019075
2020-03-13,208.42857142857142,2.5,17.419413457574862
2020-03-14,242.5,2.7857142857142856,19.119829155769033
2020-03-15,290.57142857142856,2.857142857142857,20.82303468040313
2020-03-16,353.7142857142857,4.071428571428571,22.600361520229967
2020-03-17,421.5,4.5,24.3762491963836
2020-03-18,481.42857142857144,4.857142857142857,26.12814313577754
2020-03-19,566.5714285714286,6.142857142857143,27.879412803950157
2020-03-20,636.1428571428571,8.928571428571429,29.636376307248337
2020-03-21,717.7142857142857,11.571428571428571,31.346600290458646
2020-03-22,809.7142857142857,14.571428571428571,33.14716282316404
2020-03-23,871.6428571428571,17.357142857142858,35.19443125841584
2020-03-24,946.9285714285714,20.785714285714285,37.19325636947499
2020-03-25,948.5714285714286,23.571428571428573,39.36386850381951
2020-03-26,1013.1428571428571,28.071428571428573,41.576286919973704
2020-03-27,1064.2857142857142,30.5,44.001611055612
2020-03-28,1103.5,35.857142857142854,45.61937474215779
2020-03-29,1121.4285714285713,40.07142857142857,47.344126181194945
2020-03-30,1135.0714285714287,42.357142857142854,49.06748615455491
2020-03-31,1148.0714285714287,50.357142857142854,50.02735457560755
2020-04-01,1164.5714285714287,57.285714285714285,50.84163084166953
2020-04-02,1179.0714285714287,68.85714285714286,51.55199333181925
2020-04-03,1211.9285714285713,74.14285714285714,52.14930148460186
2020-04-04,1207.4285714285713,82.14285714285714,52.458345263403714
2020-04-05,1210.9285714285713,86.92857142857143,52.8842210160036
2020-04-06,1255.4285714285713,90.71428571428571,53.23957298176574
2020-04-07,1271.0714285714287,97.14285714285714,53.415604401527894
2020-04-08,1278.7857142857142,103.14285714285714,53.3282183832908
2020-04-09,1289.0,110.0,53.1791664220808
2020-04-10,1301.5,117.14285714285714,53.0284196270124
2020-04-11,1308.7142857142858,122.5,52.78925810790922
2020-04-12,1331.7142857142858,124.85714285714286,52.72140096505208
2020-04-13,1343.642857142857,131.42857142857142,52.43857533479998
2020-04-14,1352.642857142857,133.14285714285714,52.18314220410088
2020-04-15,1358.2142857142858,134.64285714285714,51.928040163284564
2020-04-16,1350.5,134.85714285714286,51.65737689797844
2020-04-17,1352.357142857143,141.21428571428572,51.3542050857753
2020-04-18,1374.5714285714287,142.35714285714286,51.01550579940025
2020-04-19,1463.0714285714287,142.21428571428572,50.59490272671051
2020-04-20,1431.642857142857,146.92857142857142,50.178739858685596
2020-04-21,1419.0,149.71428571428572,49.72928853560315
2020-04-22,1417.0714285714287,153.28571428571428,49.242102646546186
2020-04-23,1403.0,153.71428571428572,48.74138529173657
2020-04-24,1400.9285714285713,154.42857142857142,47.630615742137245
2020-04-25,1404.857142857143,152.0,47.077391214583386
2020-04-26,1387.142857142857,158.0,46.269685373626324
2020-04-27,1369.7857142857142,156.5,45.162667391608345
2020-04-28,1356.7142857142858,158.78571428571428,44.58962317392127
2020-04-29,1346.0714285714287,159.14285714285714,44.02587600838839
2020-04-30,1327.142857142857,157.71428571428572,43.48749842331181
2020-05-01,1291.857142857143,148.78571428571428,43.00141561925455
2020-05-02,1265.7857142857142,144.92857142857142,42.54252711995582
2020-05-03,1153.9285714285713,144.42857142857142,42.009401218079915
2020-05-04,1145.5714285714287,137.14285714285714,42.770359051410836
2020-05-05,1132.4285714285713,129.07142857142858,42.240337569133715
2020-05-06,1107.142857142857,124.35714285714286,41.68879815374863
2020-05-07,1094.5,120.35714285714286,41.17047649672761
2020-05-08,1072.9285714285713,115.78571428571429,40.58875062456057
2020-05-09,1067.7142857142858,114.5,39.90038867928617
2020-05-10,1068.0,106.78571428571429,39.067452171349665
2020-05-11,1062.357142857143,106.35714285714286,38.58593797476193
2020-05-12,1046.9285714285713,100.42857142857143,38.01527470945582
2020-05-13,1032.5,99.85714285714286,37.44495031103973
2020-05-14,1018.7857142857143,95.85714285714286,36.86468593256107
2020-05-15,1007.1428571428571,97.64285714285714,36.30193924297614
2020-05-16,977.7142857142857,96.07142857142857,35.42225032539641
2020-05-17,953.2142857142857,104.57142857142857,34.49641852784176
2020-05-18,930.9285714285714,102.64285714285714,33.97128862855381
2020-05-19,908.6428571428571,102.85714285714286,33.479095160257394
2020-05-20,884.4285714285714,101.85714285714286,33.01176289561606
2020-05-21,847.4285714285714,103.5,32.50782887343386
2020-05-22,812.5714285714286,101.5,32.03799870360369
2020-05-23,782.0,99.21428571428571,31.29878103314518
2020-05-24,753.9285714285714,96.21428571428571,30.465567215099416
2020-05-25,715.6428571428571,90.21428571428571,30.02496954746093
2020-05-26,677.5714285714286,87.92857142857143,29.580897632980854
2020-05-27,647.1428571428571,83.78571428571429,29.175779395209556
2020-05-28,604.3571428571429,78.64285714285714,28.747968985331315
2020-05-29,567.8571428571429,75.21428571428571,28.245743744585667
2020-05-30,545.1428571428571,72.57142857142857,27.37010145209555
2020-05-31,515.9285714285714,59.57142857142857,26.306694940382958
2020-06-01,486.2142857142857,59.42857142857143,24.634135775872085
2020-06-02,457.0,57.214285714285715,24.22241770518516
2020-06-03,434.0,53.0,23.837828261731875
2020-06-04,411.0,46.5,23.45994000621645
2020-06-05,392.85714285714283,45.142857142857146,23.174297502461705
2020-06-06,367.7857142857143,44.714285714285715,22.56341896301174
2020-06-07,341.14285714285717,44.214285714285715,21.767691326162602
2020-06-08,326.07142857142856,42.285714285714285,21.524499568940232
2020-06-09,318.7142857142857,39.285714285714285,21.352001998483477
2020-06-10,305.07142857142856,36.857142857142854,22.12956643577225
2020-06-11,303.92857142857144,35.5,21.973059677224676
2020-06-12,285.92857142857144,31.857142857142858,21.810103585697156
2020-06-13,267.07142857142856,28.428571428571427,21.57622121716372
2020-06-14,256.57142857142856,26.071428571428573,21.19373180741574
2020-06-15,276.92857142857144,27.214285714285715,21.21147303695009
2020-06-16,273.2857142857143,26.285714285714285,21.12109954989293
2020-06-17,251.35714285714286,23.357142857142858,21.900167040428588
