date,cases,deaths,mov
2020-03-01,10.090909090909092,0.09090909090909091,1.3673072650914606
2020-03-02,24.090909090909093,0.17424242424242425,1.2278883506725464
2020-03-03,41.257575757575765,0.25757575757575757,2.2794916113158488
2020-03-04,59.87296037296038,0.4114219114219114,3.508052864877103
2020-03-05,87.18065268065268,0.6421911421911422,4.840907972732211
2020-03-06,119.48834498834499,0.872960372960373,6.118156649980888
2020-03-07,161.71911421911423,1.4114219114219115,7.316453992173579
2020-03-08,208.7960372960373,2.1037296037296036,8.601869725865175
2020-03-09,261.56526806526807,2.8729603729603728,10.18669587632771
2020-03-10,316.6366966366966,3.73010323010323,11.980558460678834
2020-03-11,457.9224109224109,5.015817515817516,13.974548693074983
2020-03-12,630.4224109224109,6.587246087246087,15.490120444019075
2020-03-13,838.8509823509823,9.087246087246086,17.419413457574862
2020-03-14,1081.3509823509823,11.872960372960371,19.119829155769033
2020-03-15,1371.922410922411,14.730103230103229,20.82303468040313
2020-03-16,1725.6366966366968,18.8015318015318,22.600361520229967
2020-03-17,2147.136696636697,23.3015318015318,24.3762491963836
2020-03-18,2628.5652680652684,28.15867465867466,26.12814313577754
2020-03-19,3195.136696636697,34.3015318015318,27.879412803950157
2020-03-20,3831.2795537795537,43.23010323010323,29.636376307248337
2020-03-21,4548.993839493839,54.8015318015318,31.346600290458646
2020-03-22,5358.708125208124,69.37296037296038,33.14716282316404
2020-03-23,6230.350982350981,86.73010323010324,35.19443125841584
2020-03-24,7177.279553779553,107.51581751581753,37.19325636947499
2020-03-25,8125.850982350981,131.08724608724611,39.36386850381951
2020-03-26,9138.993839493838,159.1586746586747,41.576286919973704
2020-03-27,10203.279553779552,189.6586746586747,44.001611055612
2020-03-28,11306.779553779552,225.51581751581756,45.61937474215779
2020-03-29,12428.208125208123,265.5872460872461,47.344126181194945
2020-03-30,13563.279553779552,307.94438894438895,49.06748615455491
2020-03-31,14711.350982350981,358.3015318015318,50.02735457560755
2020-04-01,15875.92241092241,415.58724608724606,50.84163084166953
2020-04-02,17054.99383949384,484.44438894438895,51.55199333181925
2020-04-03,18266.922410922412,558.5872460872461,52.14930148460186
2020-04-04,19474.350982350985,640.7301032301032,52.458345263403714
2020-04-05,20685.279553779557,727.6586746586746,52.8842210160036
2020-04-06,21940.70812520813,818.3729603729603,53.23957298176574
2020-04-07,23211.779553779557,915.5158175158174,53.415604401527894
2020-04-08,24490.56526806527,1018.6586746586745,53.3282183832908
2020-04-09,25779.56526806527,1128.6586746586745,53.1791664220808
2020-04-10,27081.06526806527,1245.8015318015316,53.0284196270124
2020-04-11,28389.779553779557,1368.3015318015316,52.78925810790922
2020-04-12,29721.493839493844,1493.1586746586745,52.72140096505208
2020-04-13,31065.136696636702,1624.5872460872458,52.43857533479998
2020-04-14,32417.77955377956,1757.730103230103,52.18314220410088
2020-04-15,33775.99383949384,1892.37296037296,51.928040163284564
2020-04-16,35126.49383949384,2027.230103230103,51.65737689797844
2020-04-17,36478.85098235099,2168.4443889443887,51.3542050857753
2020-04-18,37853.422410922416,2310.8015318015314,51.01550579940025
2020-04-19,39316.49383949384,2453.015817515817,50.59490272671051
2020-04-20,40748.1366966367,2599.9443889443887,50.178739858685596
2020-04-21,42167.1366966367,2749.6586746586745,49.72928853560315
2020-04-22,43584.208125208126,2902.9443889443887,49.242102646546186
2020-04-23,44987.208125208126,3056.6586746586745,48.74138529173657
2020-04-24,46388.1366966367,3211.087246087246,47.630615742137245
2020-04-25,47792.99383949384,3363.087246087246,47.077391214583386
2020-04-26,49180.1366966367,3521.087246087246,46.269685373626324
2020-04-27,50549.922410922416,3677.587246087246,45.162667391608345
2020-04-28,51906.6366966367,3836.3729603729603,44.58962317392127
2020-04-29,53252.708125208126,3995.5158175158176,44.02587600838839
2020-04-30,54579.85098235098,4153.230103230103,43.48749842331181
2020-05-01,55871.708125208126,4302.015817515818,43.00141561925455
2020-05-02,57137.49383949384,4446.944388944389,42.54252711995582
2020-05-03,58291.422410922416,4591.372960372961,42.009401218079915
2020-05-04,59436.99383949384,4728.515817515818,42.770359051410836
2020-05-05,60569.422410922416,4857.587246087246,42.240337569133715
2020-05-06,61676.56526806527,4981.944388944389,41.68879815374863
2020-05-07,62771.06526806527,5102.301531801532,41.17047649672761
